ddd:010143459:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-01;http://resolver.kb.nl/resolve?urn=ddd:010143459:mpeg21:a0001;logo;drawing
ddd:010143459:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-01;http://resolver.kb.nl/resolve?urn=ddd:010143459:mpeg21:a0001;logo;drawing
ddd:010143461:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-02;http://resolver.kb.nl/resolve?urn=ddd:010143461:mpeg21:a0001;logo;drawing
ddd:010143461:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-02;http://resolver.kb.nl/resolve?urn=ddd:010143461:mpeg21:a0001;logo;drawing
ddd:010143463:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-03;http://resolver.kb.nl/resolve?urn=ddd:010143463:mpeg21:a0001;logo;drawing
ddd:010143463:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-03;http://resolver.kb.nl/resolve?urn=ddd:010143463:mpeg21:a0001;logo;drawing
ddd:010143465:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-04;http://resolver.kb.nl/resolve?urn=ddd:010143465:mpeg21:a0001;logo;drawing
ddd:010143465:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-04;http://resolver.kb.nl/resolve?urn=ddd:010143465:mpeg21:a0001;logo;drawing
ddd:010143469:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-07;http://resolver.kb.nl/resolve?urn=ddd:010143469:mpeg21:a0001;logo;drawing
ddd:010143469:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-09-07;http://resolver.kb.nl/resolve?urn=ddd:010143469:mpeg21:a0001;logo;drawing
